Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	741.0	744.0	0	12000.0	Golden Whistler	golwhi1	0.1455	smithslake/2MM03792_20250119_151402.wav	741.0
2	Spectrogram 1	1	783.0	786.0	0	12000.0	Brown Gerygone	broger1	0.3952	smithslake/2MM03792_20250119_151402.wav	783.0
3	Spectrogram 1	1	786.0	789.0	0	12000.0	Brown Gerygone	broger1	0.3057	smithslake/2MM03792_20250119_151402.wav	786.0
4	Spectrogram 1	1	798.0	801.0	0	12000.0	Brown Gerygone	broger1	0.3027	smithslake/2MM03792_20250119_151402.wav	798.0
5	Spectrogram 1	1	822.0	825.0	0	12000.0	Brown Gerygone	broger1	0.1556	smithslake/2MM03792_20250119_151402.wav	822.0
6	Spectrogram 1	1	825.0	828.0	0	12000.0	Brown Gerygone	broger1	0.9760	smithslake/2MM03792_20250119_151402.wav	825.0
7	Spectrogram 1	1	825.0	828.0	0	12000.0	White-browed Scrubwren	whbscr1	0.2168	smithslake/2MM03792_20250119_151402.wav	825.0
8	Spectrogram 1	1	825.0	828.0	0	12000.0	Large-billed Scrubwren	labscr2	0.1995	smithslake/2MM03792_20250119_151402.wav	825.0
9	Spectrogram 1	1	828.0	831.0	0	12000.0	Brown Gerygone	broger1	0.8565	smithslake/2MM03792_20250119_151402.wav	828.0
10	Spectrogram 1	1	828.0	831.0	0	12000.0	White-browed Scrubwren	whbscr1	0.1808	smithslake/2MM03792_20250119_151402.wav	828.0
11	Spectrogram 1	1	828.0	831.0	0	12000.0	Large-billed Scrubwren	labscr2	0.1133	smithslake/2MM03792_20250119_151402.wav	828.0
12	Spectrogram 1	1	831.0	834.0	0	12000.0	Brown Gerygone	broger1	0.3072	smithslake/2MM03792_20250119_151402.wav	831.0
13	Spectrogram 1	1	858.0	861.0	0	12000.0	Brown Gerygone	broger1	0.2938	smithslake/2MM03792_20250119_151402.wav	858.0
14	Spectrogram 1	1	918.0	921.0	0	12000.0	Golden Whistler	golwhi1	0.1126	smithslake/2MM03792_20250119_151402.wav	918.0
15	Spectrogram 1	1	930.0	933.0	0	12000.0	Golden Whistler	golwhi1	0.1543	smithslake/2MM03792_20250119_151402.wav	930.0
