1
Lewin's Honeyeater Meliphaga lewinii
79.13%
2
Grey Fantail Rhipidura albiscapa
78.51%
3
Eastern Yellow Robin Eopsaltria australis
70.75%
4
Noisy Friarbird Philemon corniculatus
60.54%
5
Red-browed Finch Neochmia temporalis
59.33%
6
White-throated Treecreeper Cormobates leucophaea
55.76%
7
White-cheeked Honeyeater Phylidonyris niger
52.77%
8
Little Wattlebird Anthochaera chrysoptera
49.16%
9
Yellow Thornbill Acanthiza nana
48.54%
10
Willie Wagtail Rhipidura leucophrys
47.95%
11
Brown Thornbill Acanthiza pusilla
47.95%
12
Australian Magpie Gymnorhina tibicen
46.79%
13
Scarlet Honeyeater Myzomela sanguinolenta
46.76%
14
Laughing Kookaburra Dacelo novaeguineae
46.19%
15
Yellow-faced Honeyeater Caligavis chrysops
46.14%
16
Brown Cuckoo-Dove Macropygia phasianella
44.98%
17
Australasian Figbird Sphecotheres vieilloti
43.77%
18
Superb Fairywren Malurus cyaneus
43.75%
19
Brown Gerygone Gerygone mouki
43.74%
20
Olive-backed Oriole Oriolus sagittatus
43.16%
21
Scaly-breasted Lorikeet Trichoglossus chlorolepidotus
41.37%
22
Welcome Swallow Hirundo neoxena
40.76%
23
Eastern Whipbird Psophodes olivaceus
40.74%
24
Whistling Kite Haliastur sphenurus
39.57%
25
Rufous Whistler Pachycephala rufiventris
39.55%
26
Eastern Spinebill Acanthorhynchus tenuirostris
38.96%
27
Australian Rufous Fantail Rhipidura rufifrons
38.37%
28
Silvereye Zosterops lateralis
38.35%
29
Variegated Fairywren Malurus lamberti
36.56%
30
Sacred Kingfisher Todiramphus sanctus
35.37%
31
Leaden Flycatcher Myiagra rubecula
35.35%
32
Forest Raven Corvus tasmanicus
34.78%
33
Black-faced Monarch Monarcha melanopsis
34.18%
34
White-breasted Woodswallow Artamus leucorynchus
34.17%
35
Rainbow Lorikeet Trichoglossus moluccanus
32.99%
36
Golden Whistler Pachycephala pectoralis
32.96%
37
Masked Lapwing Vanellus miles
32.40%
38
White-bellied Sea-Eagle Icthyophaga leucogaster
31.21%
39
Australian Pelican Pelecanus conspicillatus
31.19%
40
White-browed Scrubwren Sericornis frontalis
29.38%
41
White-faced Heron Egretta novaehollandiae
25.80%
42
Black-faced Cuckooshrike Coracina novaehollandiae
25.78%
43
Little Lorikeet Psitteuteles pusillus
25.78%
44
Bar-shouldered Dove Geopelia humeralis
23.99%
45
Dusky Woodswallow Artamus cyanopterus
23.98%
46
Grey Shrikethrush Colluricincla harmonica
22.17%
47
Mistletoebird Dicaeum hirundinaceum
21.58%
48
Varied Sittella Daphoenositta chrysoptera
20.98%
49
Striated Thornbill Acanthiza lineata
20.38%
50
Pied Butcherbird Cracticus nigrogularis
19.81%
51
Brown Quail Synoicus ypsilophorus
18.59%
52
Dollarbird Eurystomus orientalis
18.01%
53
White-naped Honeyeater Melithreptus lunatus
17.38%
54
Eastern Shrike-tit Falcunculus frontatus
16.20%
55
Southern Emuwren Stipiturus malachurus
16.18%
56
Yellow-throated Scrubwren Neosericornis citreogularis
15.62%
57
Wonga Pigeon Leucosarcia melanoleuca
15.60%
58
Eastern Rosella Platycercus eximius
15.59%
59
