Key,Timestamp,AEDT_Timestamp,Translation
F10,27:47.1,27:47.1,Eastern Spinebill
F7,27:48.9,27:48.9,Brown Gerygone
F7,27:51.8,27:51.8,Brown Gerygone
F7,27:55.9,27:55.9,Brown Gerygone
F7,28:03.8,28:03.8,Brown Gerygone
F7,28:05.7,28:05.7,Brown Gerygone
F7,28:10.3,28:10.3,Brown Gerygone
F7,28:14.9,28:14.9,Brown Gerygone
F7,28:20.5,28:20.5,Brown Gerygone
l,28:39.1,28:39.1,Willie Wagtail
F7,28:41.3,28:41.3,Brown Gerygone
k,28:58.0,28:58.0,White-throated Treecreeper
l,29:11.9,29:11.9,Willie Wagtail
9,29:21.9,29:21.9,Mistletoebird
l,29:47.6,29:47.6,Willie Wagtail
F7,29:49.3,29:49.3,Brown Gerygone
F7,29:51.3,29:51.3,Brown Gerygone
F7,29:53.5,29:53.5,Brown Gerygone
F7,29:56.6,29:56.6,Brown Gerygone
F12,30:25.7,30:25.7,Eastern Yellow Robin
`,30:34.3,30:34.3,Golden Whistler
5,30:37.6,30:37.6,Lewin's Honeyeater
F7,30:44.1,30:44.1,Brown Gerygone
F7,30:48.0,30:48.0,Brown Gerygone
F7,30:52.2,30:52.2,Brown Gerygone
1,30:55.8,30:55.8,Grey Fantail
q,31:12.5,31:12.5,Rainbow Lorikeet
q,31:48.1,31:48.1,Rainbow Lorikeet
F7,31:50.7,31:50.7,Brown Gerygone
F7,31:57.9,31:57.9,Brown Gerygone
l,32:01.4,32:01.4,Willie Wagtail
1,32:04.1,32:04.1,Grey Fantail
F7,32:07.9,32:07.9,Brown Gerygone
F7,32:13.4,32:13.4,Brown Gerygone
F7,32:20.7,32:20.7,Brown Gerygone
',32:39.5,32:39.5,Yellow Thornbill
F12,33:20.9,33:20.9,Eastern Yellow Robin
F7,33:36.3,33:36.3,Brown Gerygone
F7,33:38.3,33:38.3,Brown Gerygone
F7,33:39.7,33:39.7,Brown Gerygone
F7,33:42.5,33:42.5,Brown Gerygone
F7,33:59.8,33:59.8,Brown Gerygone
F7,34:25.0,34:25.0,Brown Gerygone
F7,34:27.3,34:27.3,Brown Gerygone
F7,34:28.5,34:28.5,Brown Gerygone
F7,34:37.9,34:37.9,Brown Gerygone
F7,34:39.9,34:39.9,Brown Gerygone
F7,34:46.7,34:46.7,Brown Gerygone
F7,34:49.4,34:49.4,Brown Gerygone
F7,35:12.5,35:12.5,Brown Gerygone
`,35:27.8,35:27.8,Golden Whistler
F7,35:45.5,35:45.5,Brown Gerygone
F7,35:47.1,35:47.1,Brown Gerygone
x,35:49.5,35:49.5,Large-billed Scrubwren
F7,35:53.2,35:53.2,Brown Gerygone
x,35:54.7,35:54.7,Large-billed Scrubwren
F7,35:56.6,35:56.6,Brown Gerygone
F7,35:59.0,35:59.0,Brown Gerygone
F7,36:05.4,36:05.4,Brown Gerygone
F7,36:08.8,36:08.8,Brown Gerygone
F7,36:18.5,36:18.5,Brown Gerygone
F12,37:05.8,37:05.8,Eastern Yellow Robin
F7,37:08.7,37:08.7,Brown Gerygone
F12,37:10.8,37:10.8,Eastern Yellow Robin
F7,37:14.0,37:14.0,Brown Gerygone
F7,37:22.5,37:22.5,Brown Gerygone
F12,37:25.0,37:25.0,Eastern Yellow Robin
F12,37:28.5,37:28.5,Eastern Yellow Robin
F12,37:30.8,37:30.8,Eastern Yellow Robin
F12,37:33.4,37:33.4,Eastern Yellow Robin
F12,37:36.0,37:36.0,Eastern Yellow Robin
l,37:38.7,37:38.7,Willie Wagtail
F12,37:40.5,37:40.5,Eastern Yellow Robin
F12,37:42.9,37:42.9,Eastern Yellow Robin
`,37:48.8,37:48.8,Golden Whistler
F12,37:49.7,37:49.7,Eastern Yellow Robin
F12,37:53.1,37:53.1,Eastern Yellow Robin
1,38:00.5,38:00.5,Grey Fantail
F12,38:02.0,38:02.0,Eastern Yellow Robin
F7,38:22.4,38:22.4,Brown Gerygone
F12,38:26.1,38:26.1,Eastern Yellow Robin
1,38:28.1,38:28.1,Grey Fantail
1,38:36.9,38:36.9,Grey Fantail
F7,38:40.3,38:40.3,Brown Gerygone
F12,38:48.2,38:48.2,Eastern Yellow Robin
1,38:48.6,38:48.6,Grey Fantail
F12,39:12.1,39:12.1,Eastern Yellow Robin
1,39:29.9,39:29.9,Grey Fantail
1,39:47.9,39:47.9,Grey Fantail
F7,40:05.5,40:05.5,Brown Gerygone
F12,40:08.7,40:08.7,Eastern Yellow Robin
5,40:15.0,40:15.0,Lewin's Honeyeater
F7,40:20.2,40:20.2,Brown Gerygone
F7,40:21.6,40:21.6,Brown Gerygone
F7,40:25.1,40:25.1,Brown Gerygone
1,40:28.3,40:28.3,Grey Fantail
F7,40:39.7,40:39.7,Brown Gerygone
1,40:48.9,40:48.9,Grey Fantail
k,41:25.3,41:25.3,White-throated Treecreeper
F7,41:26.9,41:26.9,Brown Gerygone
F7,41:32.6,41:32.6,Brown Gerygone
F7,41:35.4,41:35.4,Brown Gerygone
F7,41:39.8,41:39.8,Brown Gerygone
1,41:49.2,41:49.2,Grey Fantail
F7,41:50.2,41:50.2,Brown Gerygone
F7,41:52.2,41:52.2,Brown Gerygone
F7,41:57.7,41:57.7,Brown Gerygone
F7,42:01.3,42:01.3,Brown Gerygone
1,42:02.5,42:02.5,Grey Fantail
F7,42:04.4,42:04.4,Brown Gerygone
F7,42:06.0,42:06.0,Brown Gerygone
F7,42:07.5,42:07.5,Brown Gerygone
F7,42:09.2,42:09.2,Brown Gerygone
F7,42:12.3,42:12.3,Brown Gerygone
F7,42:14.4,42:14.4,Brown Gerygone
F7,42:18.2,42:18.2,Brown Gerygone
F7,42:20.6,42:20.6,Brown Gerygone
F7,42:27.5,42:27.5,Brown Gerygone
F7,42:28.1,42:28.1,Brown Gerygone
1,42:36.6,42:36.6,Grey Fantail
F7,42:37.9,42:37.9,Brown Gerygone
F7,42:39.2,42:39.2,Brown Gerygone
F7,42:41.3,42:41.3,Brown Gerygone
F7,42:44.8,42:44.8,Brown Gerygone
F7,42:46.1,42:46.1,Brown Gerygone
F7,42:48.3,42:48.3,Brown Gerygone
F7,43:02.2,43:02.2,Brown Gerygone
F7,43:06.5,43:06.5,Brown Gerygone
F7,43:12.1,43:12.1,Brown Gerygone
F7,43:13.6,43:13.6,Brown Gerygone
F7,43:16.5,43:16.5,Brown Gerygone
F7,43:18.6,43:18.6,Brown Gerygone
F7,43:29.1,43:29.1,Brown Gerygone
F7,43:36.1,43:36.1,Brown Gerygone
5,44:01.3,44:01.3,Lewin's Honeyeater
F7,44:03.9,44:03.9,Brown Gerygone
F7,44:08.0,44:08.0,Brown Gerygone
`,44:24.4,44:24.4,Golden Whistler
`,44:28.9,44:28.9,Golden Whistler
F7,44:31.3,44:31.3,Brown Gerygone
F7,44:37.4,44:37.4,Brown Gerygone
F7,44:39.3,44:39.3,Brown Gerygone
F7,44:46.0,44:46.0,Brown Gerygone
F7,44:49.9,44:49.9,Brown Gerygone
F7,44:52.6,44:52.6,Brown Gerygone
F7,44:57.0,44:57.0,Brown Gerygone
F7,44:59.4,44:59.4,Brown Gerygone
F7,45:02.0,45:02.0,Brown Gerygone
F7,45:04.2,45:04.2,Brown Gerygone
`,45:07.3,45:07.3,Golden Whistler
F7,45:09.4,45:09.4,Brown Gerygone
x,45:14.6,45:14.6,Large-billed Scrubwren
