AEDT_Timestamp,min,sec,Translation,
,5,37,,
,5,38,,
,5,39,,
,5,40,,
,5,41,,
,5,42,,
,5,43,,
,5,44,,
,5,45,,
,5,46,,
,5,47,,
,5,48,,
,5,49,,
,5,50,,
,5,51,,
,5,52,,
,5,53,,
,5,54,,
,5,55,,
,5,56,,
,5,57,,
,5,58,,
,5,59,,
,6,0,,
,6,1,,
,6,2,,
,6,3,,
,6,4,,
,6,5,,
,6,6,,
,6,7,,
,6,8,,
,6,9,,
,6,10,,
,6,11,,
,6,12,,
,6,13,,
,6,14,Yellow Thornbill,
,6,15,,
,6,16,,
,6,17,,
,6,18,,
,6,19,,
,6,20,,
,6,21,,
,6,22,,
,6,23,,
,6,24,,
,6,25,,
,6,26,,
,6,27,Yellow Thornbill,
,6,28,,
,6,29,,
,6,30,,
,6,31,,
,6,32,,
,6,33,,
,6,34,,
,6,35,,
,6,36,,
,6,37,,
,6,38,,
,6,39,,
,6,40,,
,6,41,,
,6,42,,
,6,43,,
,6,44,,
,6,45,,
,6,46,,
,6,47,,
,6,48,,
,6,49,,
,6,50,,
,6,51,,
,6,52,Brown Gerygone,
,6,53,,
,6,54,,
,6,55,,
,6,56,,
,6,57,,
,6,58,,
,6,59,Brown Gerygone,
,7,0,Brown Gerygone,
,7,1,Brown Gerygone,
,7,2,Brown Gerygone,
,7,2,Lewin's Honeyeater,
,7,3,Brown Gerygone,
,7,3,Lewin's Honeyeater,
,7,4,Brown Gerygone,
,7,4,Lewin's Honeyeater,
,7,5,Brown Gerygone,
,7,5,Lewin's Honeyeater,
,7,6,Brown Gerygone,
,7,6,Lewin's Honeyeater,
,7,7,Lewin's Honeyeater,
,7,8,,
,7,9,,
,7,10,,
,7,11,,
,7,12,,
,7,13,Brown Gerygone,
,7,14,,
,7,15,Willie Wagtail,
,7,16,Willie Wagtail,
,7,17,,
,7,18,,
,7,19,Brown Gerygone,
,7,20,Brown Gerygone,
,7,21,Brown Gerygone,
,7,22,Brown Gerygone,
,7,23,,
,7,24,,
,7,25,Brown Gerygone,
,7,26,,
,7,27,,
,7,28,,
,7,29,,
,7,30,,
,7,31,,
,7,32,Brown Gerygone,
,7,33,Brown Gerygone,
,7,34,,
,7,35,Brown Gerygone,
,7,36,Brown Gerygone,
,7,37,,
,7,38,,
,7,39,,
,7,40,,
,7,41,,
,7,42,Brown Gerygone,
,7,43,Brown Gerygone,
,7,44,Brown Gerygone,
,7,45,Brown Gerygone,
,7,46,Brown Gerygone,
,7,47,,
,7,48,,
,7,49,Brown Gerygone,
,7,50,Brown Gerygone,
,7,51,,
,7,52,,
,7,53,,
,7,54,,
,7,55,,
,7,56,Brown Gerygone,
,7,57,,
,7,58,,
,7,59,Brown Gerygone,
,8,0,Brown Gerygone,
,8,1,Brown Gerygone,
,8,2,,
,8,3,,
,8,4,,
,8,5,,
,8,6,,
,8,7,,
,8,8,,
,8,9,,
,8,10,Brown Gerygone,
,8,11,Brown Gerygone,
,8,12,,
,8,13,,
,8,14,Red-browed Finch,
,8,15,,
,8,16,,
,8,17,,
,8,18,,
,8,19,,
,8,20,,
,8,21,,
,8,22,Brown Gerygone,
,8,23,Brown Gerygone,
,8,24,Brown Gerygone,
,8,25,Brown Gerygone,
,8,26,Brown Gerygone,
,8,27,Brown Gerygone,
,8,28,Brown Gerygone,
,8,29,Brown Gerygone,
,8,30,Brown Gerygone,
,8,31,Brown Gerygone,
,8,32,Brown Gerygone,
,8,33,Brown Gerygone,
,8,34,Brown Gerygone,
,8,35,Brown Gerygone,
,8,36,Brown Gerygone,
,8,37,Brown Gerygone,
,8,38,Brown Gerygone,
,8,39,Brown Gerygone,
,8,40,Brown Gerygone,
,8,41,Brown Gerygone,
,8,42,Brown Gerygone,
,8,43,Brown Gerygone,
