Key,Timestamp,AEDT_Timestamp,Translation
Enter,00:35.1,00:35.1,Yellow-faced Honeyeater
Enter,00:35.9,00:35.9,Yellow-faced Honeyeater
Enter,00:37.0,00:37.0,Yellow-faced Honeyeater
Enter,00:37.8,00:37.8,Yellow-faced Honeyeater
Enter,00:38.8,00:38.8,Yellow-faced Honeyeater
Enter,00:41.0,00:41.0,Yellow-faced Honeyeater
Enter,00:42.1,00:42.1,Yellow-faced Honeyeater
Enter,00:43.4,00:43.4,Yellow-faced Honeyeater
Enter,00:44.8,00:44.8,Yellow-faced Honeyeater
Enter,00:46.0,00:46.0,Yellow-faced Honeyeater
Enter,00:47.0,00:47.0,Yellow-faced Honeyeater
Enter,00:48.3,00:48.3,Yellow-faced Honeyeater
Enter,00:49.9,00:49.9,Yellow-faced Honeyeater
Enter,00:53.8,00:53.8,Yellow-faced Honeyeater
Enter,01:00.9,01:00.9,Yellow-faced Honeyeater
Enter,01:02.3,01:02.3,Yellow-faced Honeyeater
Enter,01:04.4,01:04.4,Yellow-faced Honeyeater
Enter,01:06.6,01:06.6,Yellow-faced Honeyeater
Enter,01:17.5,01:17.5,Yellow-faced Honeyeater
Enter,01:17.9,01:17.9,Yellow-faced Honeyeater
Enter,01:18.4,01:18.4,Yellow-faced Honeyeater
Enter,01:19.5,01:19.5,Yellow-faced Honeyeater
Enter,01:20.6,01:20.6,Yellow-faced Honeyeater
Enter,01:22.7,01:22.7,Yellow-faced Honeyeater
Enter,01:23.8,01:23.8,Yellow-faced Honeyeater
Enter,01:24.6,01:24.6,Yellow-faced Honeyeater
Enter,01:25.4,01:25.4,Yellow-faced Honeyeater
