Key,Timestamp,AEDT_Timestamp,Translation
w,47:07.4,47:07.0,Red-browed Finch
w,47:08.2,47:08.2,Red-browed Finch
w,47:09.6,47:09.6,Red-browed Finch
w,47:10.8,47:10.8,Red-browed Finch
k,47:17.0,47:17.0,White-throated Treecreeper
k,47:18.4,47:18.4,White-throated Treecreeper
k,47:19.7,47:19.7,White-throated Treecreeper
w,47:20.1,47:20.1,Red-browed Finch
k,47:21.1,47:21.1,White-throated Treecreeper
w,47:21.7,47:21.7,Red-browed Finch
k,47:22.6,47:22.6,White-throated Treecreeper
w,47:22.9,47:22.9,Red-browed Finch
w,47:24.1,47:24.1,Red-browed Finch
k,47:24.2,47:24.2,White-throated Treecreeper
w,47:26.4,47:26.4,Red-browed Finch
k,47:45.9,47:45.9,White-throated Treecreeper
k,47:47.5,47:47.5,White-throated Treecreeper
g,48:38.6,48:38.6,White-browed Scrubwren
w,48:47.9,48:47.9,Red-browed Finch
w,48:49.0,48:49.0,Red-browed Finch
w,48:50.7,48:50.7,Red-browed Finch
w,48:52.9,48:52.9,Red-browed Finch
g,49:04.7,49:04.7,White-browed Scrubwren
k,49:20.8,49:20.8,White-throated Treecreeper
w,49:36.7,49:36.7,Red-browed Finch
u,49:46.9,49:46.9,Scarlet Honeyeater
h,50:16.4,50:16.4,White-cheeked Honeyeater
\,51:32.5,51:32.5,Variegated Fairywren
0,51:54.7,51:54.7,Noisy Friarbird
0,52:02.7,52:02.7,Noisy Friarbird
w,52:07.6,52:07.6,Red-browed Finch
0,52:15.0,52:15.0,Noisy Friarbird
F10,52:19.0,52:19.0,Eastern Spinebill
w,53:17.9,53:17.9,Red-browed Finch
w,53:21.7,53:21.7,Red-browed Finch
w,53:23.5,53:23.5,Red-browed Finch
w,53:25.2,53:25.2,Red-browed Finch
w,53:26.9,53:26.9,Red-browed Finch
5,53:59.1,53:59.1,Lewin's Honeyeater
0,54:02.3,54:02.3,Noisy Friarbird
0,54:22.9,54:22.9,Noisy Friarbird
w,55:33.7,55:33.7,Red-browed Finch
0,55:38.7,55:38.7,Noisy Friarbird
w,55:40.0,55:40.0,Red-browed Finch
5,56:32.1,56:32.1,Lewin's Honeyeater
F10,56:35.7,56:35.7,Eastern Spinebill
h,57:23.7,57:23.7,White-cheeked Honeyeater
F10,57:28.5,57:28.5,Eastern Spinebill
h,57:43.7,57:43.7,White-cheeked Honeyeater
h,57:47.1,57:47.1,White-cheeked Honeyeater
h,57:48.8,57:48.8,White-cheeked Honeyeater
[,58:00.1,58:00.1,Superb Fairywren
h,58:02.0,58:02.0,White-cheeked Honeyeater
h,58:06.3,58:06.3,White-cheeked Honeyeater
g,58:24.7,58:24.7,White-browed Scrubwren
h,58:40.6,58:40.6,White-cheeked Honeyeater
g,58:42.9,58:42.9,White-browed Scrubwren
h,59:28.7,59:28.7,White-cheeked Honeyeater
h,59:35.8,59:35.8,White-cheeked Honeyeater
h,59:39.7,59:39.7,White-cheeked Honeyeater
h,59:48.0,59:48.0,White-cheeked Honeyeater
h,59:52.1,59:52.1,White-cheeked Honeyeater
h,59:55.4,59:55.4,White-cheeked Honeyeater
h,00:00.7,00:00.7,White-cheeked Honeyeater
h,00:02.3,00:02.3,White-cheeked Honeyeater
h,00:03.5,00:03.5,White-cheeked Honeyeater
h,00:05.1,00:05.1,White-cheeked Honeyeater
w,00:11.5,00:11.5,Red-browed Finch
h,00:12.2,00:12.2,White-cheeked Honeyeater
h,00:15.3,00:15.3,White-cheeked Honeyeater
h,00:18.8,00:18.8,White-cheeked Honeyeater
[,00:20.3,00:20.3,Superb Fairywren
h,00:50.2,00:50.2,White-cheeked Honeyeater
F10,01:10.6,01:10.6,Eastern Spinebill
g,01:46.3,01:46.3,White-browed Scrubwren
\,02:00.6,02:00.6,Variegated Fairywren
v,02:42.0,02:42.0,Red-rumped Parrot
v,02:58.7,02:58.7,Red-rumped Parrot
\,03:42.0,03:42.0,Variegated Fairywren
\,03:51.2,03:51.2,Variegated Fairywren
\,04:03.4,04:03.4,Variegated Fairywren
\,04:04.9,04:04.9,Variegated Fairywren
\,04:08.6,04:08.6,Variegated Fairywren
\,04:12.0,04:12.0,Variegated Fairywren
\,04:13.4,04:13.4,Variegated Fairywren
\,04:23.1,04:23.1,Variegated Fairywren
l,04:26.9,04:26.9,Willie Wagtail
l,04:33.9,04:33.9,Willie Wagtail
\,04:35.5,04:35.5,Variegated Fairywren
1,04:56.5,04:56.5,Grey Fantail
w,05:02.3,05:02.3,Red-browed Finch
w,05:08.0,05:08.0,Red-browed Finch
1,05:26.0,05:26.0,Grey Fantail
\,05:53.9,05:53.9,Variegated Fairywren
7,06:08.3,06:08.3,Little Wattlebird
\,06:12.7,06:12.7,Variegated Fairywren
7,06:15.7,06:15.7,Little Wattlebird
\,06:22.3,06:22.3,Variegated Fairywren
7,06:24.8,06:24.8,Little Wattlebird
\,06:28.4,06:28.4,Variegated Fairywren
7,06:33.3,06:33.3,Little Wattlebird
7,06:45.5,06:45.5,Little Wattlebird
\,06:57.9,06:57.9,Variegated Fairywren
7,07:03.2,07:03.2,Little Wattlebird
7,07:09.1,07:09.1,Little Wattlebird
7,07:09.4,07:09.4,Little Wattlebird
7,07:15.1,07:15.1,Little Wattlebird
